Station_Name,Transport_Mode,Line,Latitude,Longitude,Additional_Info
LALA LAJPATRAI COLLAGE,Bus,BEST,18.982098,72.814673,
LALA LAJPATRAI COLLEGE,Bus,BEST,18.982116,72.814331,
MAHARANA PRATAP CHOWK (MAZGAON),Bus,BEST,18.968385,72.840532,
MADANPURA,Bus,BEST,18.969876,72.828053,
MAFATLAL PARK,Bus,BEST,18.973472,72.805763,
MAFATLAL PARK,Bus,BEST,18.974683,72.80619,
MAHARANA PRATAP CHOWK (MAZGAON),Bus,BEST,18.968113,72.840114,
MAZGAON COURT,Bus,BEST,18.968718,72.83868,
MAZGAON COURT,Bus,BEST,18.968826,72.838718,
MUMBAI CENTRAL STATION,Bus,BEST,18.968715,72.822053,
MUMBAI CENTRAL STATION,Bus,BEST,18.968804,72.820429,
MUMBAI CENTRAL STATION,Bus,BEST,18.968054,72.820363,
MUMBAI CENTRAL STATION,Bus,BEST,18.967666,72.82006,
NAGPADA POLICE STATION,Bus,BEST,18.966652,72.829765,
NALANDA (CUMBALLA HILL),Bus,BEST,18.967114,72.807982,
"NANA CHOWK, SHASTRI HALL",Bus,BEST,18.963613,72.813283,
BHATIA HOSPITAL,Bus,BEST,18.964435,72.812969,
NAVJEEVAN SOCIETY (TARDEO),Bus,BEST,18.965316,72.819511,
"A.H.ANSARI CHOWK, NEW NAGPADA",Bus,BEST,18.966582,72.832585,
"NOVELTY CINEMA, DR.BHADKAMKAR ROAD",Bus,BEST,18.961847,72.81883,
PRIYADARSHINI PARK (NAPEAN SEA ROAD),Bus,BEST,18.957133,72.79992,
"SANTACRUZ STATION (W) ROAD, KASHIBAI HOSPITAL",Bus,BEST,19.08505,72.838034,
"PARASMANI, MADHUKUNJ SOCIETY",Bus,BEST,19.107982,72.829949,
MANO-BINA APARTMENTS,Bus,BEST,19.116157,72.840967,
MANO-BINA APARTMENTS,Bus,BEST,19.116274,72.840815,
NANAVATI HOSPITAL,Bus,BEST,19.095052,72.839519,
PARSI COLONY (JUHU),Bus,BEST,19.09976,72.827551,
VILE PARLE (W),Bus,BEST,19.101719,72.838849,
VILE PARLE (W),Bus,BEST,19.101637,72.838754,
ROYAL HOTEL(JUHU),Bus,BEST,19.092135,72.828175,
KAPADIA NAGAR,Bus,BEST,19.075178,72.872704,
KUNCHI KURVE NAGAR,Bus,BEST,19.077245,72.869938,
KURLA STATION (W),Bus,BEST,19.067222,72.878998,
KURLA STATION (W),Bus,BEST,19.067294,72.878865,
"RAJMATA AHILYABAI HOLKAR UDYAN, KURLA LION S PARK",Bus,BEST,19.060804,72.872702,
LAXMANRAO YADAV MARKET (KURLA MARKET),Bus,BEST,19.070375,72.879377,
"SANT ROHIDAS SABHAGURHA, KURLA POST OFFICE",Bus,BEST,19.063976,72.874088,
"SANT ROHIDAS SABHAGURHA, KURLA POST OFFICE",Bus,BEST,19.064699,72.874449,
KURLA STATION (W),Bus,BEST,19.06724,72.879198,
MAHATMA PHULE BHAVAN (VIDYA NAGARI),Bus,BEST,19.069198,72.856954,
MAHATMA PHULE BHAVAN (VIDYA NAGARI),Bus,BEST,19.069234,72.85683,
MILAN SUBWAY,Bus,BEST,19.090547,72.844112,
MILITARY OUTPOST (KALINA),Bus,BEST,19.080573,72.859056,
MILITARY OUTPOST (KALINA),Bus,BEST,19.080483,72.859085,
MOHAMMAD ESTATE,Bus,BEST,19.073632,72.871204,
"MUKUND COMPANY, P.W.D.OFFICE (KAMANI)",Bus,BEST,19.08468,72.889946,
NAVAPADA (VIDYAVIHAR-W),Bus,BEST,19.082394,72.889938,
NEW AGRIPADA (SANTACRUZ-E),Bus,BEST,19.087367,72.844,
NEW AIR INDIA QUARTERS,Bus,BEST,19.080733,72.872274,
NEW AIR INDIA QUARTERS,Bus,BEST,19.080824,72.872416,
OLD AGRA ROAD (KURLA-W),Bus,BEST,19.079029,72.879724,
PHATAK TECHNICAL SCHOOL,Bus,BEST,19.0809,72.8502167,
RAHAT APARTMENT,Bus,BEST,19.075298,72.87965,
VAKOLA POLICE STATION,Bus,BEST,19.080556,72.846029,
VIDYA VIHAR S.T.WORKSHOP,Bus,BEST,19.080931,72.890812,
SAFED POOL (SAKI NAKA),Bus,BEST,19.096593,72.883622,
SANTACRUZ STATION (E),Bus,BEST,19.081069,72.842446,
SHEETAL CINEMA (KURLA-W),Bus,BEST,19.082454,72.882146,
ST.MARY SCHOOL (KALINA),Bus,BEST,19.078274,72.868531,
SUNDAR BAUG (KAMANI),Bus,BEST,19.08682,72.887246,
VAKOLA POLICE STATION,Bus,BEST,19.080234,72.85098,
VAKOLA PIPE LINE,Bus,BEST,19.081221,72.853953,
VAKOLA PIPE LINE,Bus,BEST,19.080805,72.853155,
